timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-104.49280374583763,3.5070094886835173,63.6,0.0
20000,2,-141.10631031618834,14.222593044394499,996.4,0.0
30000,3,-132.9406580943645,24.85868391888711,254.4,0.0
40000,4,-146.14535621102132,15.345252766849162,446.6,0.0
50000,5,-147.5482567166774,5.1357533659524375,335.6,0.0
60000,6,-123.47163298233268,9.498647711232016,1600.0,0.0
70000,7,-157.94860101586383,17.0554985677429,561.2,0.0
80000,8,-116.60914149023195,31.085700568621377,1035.0,0.0
90000,9,-54.29941335563696,10.838088127525324,1600.0,0.0
100000,10,-149.3761567004846,30.951155227371192,1043.2,0.0
110000,11,-173.70297057194574,44.93104373518345,678.8,0.0
120000,12,-133.7979401893325,27.709571296131614,868.8,0.0
130000,13,-83.30929313294864,24.90816614171914,698.2,0.0
140000,14,-139.86727359213506,18.398331349680053,471.4,0.0
150000,15,-63.17738251218302,28.216772928025584,1337.4,0.0
160000,16,-145.38450267293177,19.559509195966807,364.0,0.0
170000,17,-105.19550455844573,26.891732960391856,945.8,0.0
180000,18,-91.58561009053028,10.215029885519666,178.0,0.0
190000,19,-98.80759844435197,13.349088420131107,1600.0,0.0
200000,20,-110.04041410163354,3.3814772021451316,118.6,0.0
210000,21,-82.86541963841158,34.83214313593403,694.4,0.0
220000,22,-110.96706725943747,14.987069281790896,1600.0,0.0
230000,23,68.27910711756056,99.55808437847782,986.2,0.0
240000,24,-71.17430753714294,7.659014436327989,222.4,0.0
250000,25,-110.29433585519641,35.782001199142364,322.8,0.0
260000,26,-139.28102228430163,7.115940207305361,117.2,0.0
270000,27,22.532063621609698,63.98651477689775,919.8,0.0
280000,28,37.16128207220313,107.83589011885577,822.2,0.0
290000,29,150.6870146579259,130.0769591079108,1056.8,0.0
300000,30,69.68497625769176,118.24227841379306,979.4,0.0
310000,31,61.40613217666644,126.11466803189377,974.0,0.0
320000,32,6.205527465440298,99.74526715829985,834.8,0.0
330000,33,-22.140863392229463,87.74939520929182,533.0,0.0
340000,34,43.95972039896771,139.09937262282872,780.0,0.0
350000,35,-37.16211963804904,50.95038235288859,518.4,0.0
360000,36,-7.707597650356556,108.6040335423937,915.2,0.0
370000,37,-74.99501046621562,45.415654519938116,1349.6,0.0
380000,38,8.386890683159617,20.7041273831875,472.6,0.0
390000,39,230.4212175520011,57.271505068950475,1347.0,0.0
400000,40,-2.5832780972742797,73.11423443943407,423.2,0.0
410000,41,99.97355836955842,110.6998116191014,1124.6,0.0
420000,42,-145.03646403164652,7.5098912069722275,247.8,0.0
430000,43,-168.53473132279822,36.58777006226842,887.4,0.0
440000,44,113.11602425317172,112.1081461496116,1264.6,0.0
450000,45,213.65775227053092,34.22731965317313,1527.2,0.0
460000,46,156.69580101129213,148.53759567836613,876.8,0.0
470000,47,-47.25418840635697,43.348726398779455,1407.2,0.0
480000,48,-187.39909327897095,42.917420022523736,797.6,0.0
490000,49,28.03016645538228,106.93032377865501,1053.2,0.0
500000,50,89.62978961222237,102.38823777656113,759.4,0.0
