timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-23.76029128480829,2.878835841741121,1600.0,0.0
20000,2,-114.8443341638595,0.6047722620671189,84.2,0.0
30000,3,-66.48060997520274,2.01045955973018,1600.0,0.0
40000,4,-76.43309430331746,6.415685203518893,1600.0,0.0
50000,5,-53.49994482874466,1.0503475737318204,1600.0,0.0
60000,6,-39.50416420112029,2.991506898728241,1600.0,0.0
70000,7,-31.38501785107303,9.835427566970626,1600.0,0.0
80000,8,25.077019764140214,60.78192864362535,1600.0,0.0
90000,9,77.64207530786568,69.71045539884034,1600.0,0.0
100000,10,7.154864283382284,89.05787312915272,839.8,0.0
110000,11,-88.12546750518867,15.249515998706883,181.2,0.0
120000,12,-61.74780615544555,31.3698007790487,380.0,0.0
130000,13,-73.86396564899695,11.384450098560169,225.4,0.0
140000,14,-83.82611175121578,15.962293516217008,215.8,0.0
150000,15,-19.06966188185155,56.157363462001115,566.6,0.0
160000,16,-51.422643704118684,38.886559294629365,362.6,0.0
170000,17,-32.72468629039625,35.55100298097759,465.2,0.0
180000,18,29.44400741377832,121.58060487858992,716.2,0.0
190000,19,86.52334642270257,141.4124157699308,917.6,0.0
200000,20,-51.2080599254813,53.44680878091137,345.2,0.0
210000,21,114.69536548584465,131.726693484599,964.8,0.0
220000,22,157.17523300502802,127.7843235716937,1120.4,0.0
230000,23,214.5909148312961,105.02429253676988,1218.4,0.0
240000,24,198.27006511906438,75.525990196997,1358.4,0.0
250000,25,59.03451706623066,165.49542360949022,724.0,0.0
260000,26,267.43726487326563,1.778595265487778,1342.8,0.0
270000,27,263.38419079933885,1.670361928127169,1403.6,0.0
280000,28,266.6932645132398,1.4009901619283858,1350.8,0.0
290000,29,268.2820519799638,0.8068748250663574,1307.6,0.0
300000,30,-20.82171840675999,144.56246152030624,344.6,0.0
310000,31,171.58997107973065,124.34838059623499,980.2,0.0
320000,32,241.61472984957408,59.05986980256977,1256.8,0.0
330000,33,270.94437374954833,2.3269650616633752,1278.4,0.0
340000,34,273.8840350604395,2.339965980577051,1247.2,0.0
350000,35,231.7711697586376,80.32274878203636,1160.2,0.0
360000,36,238.74898271327964,67.91919929632097,1172.0,0.0
370000,37,273.1175699676757,1.7880248248758328,1202.4,0.0
380000,38,150.25351980896653,160.22365802111528,904.6,0.0
390000,39,278.0067158975672,2.5725041074550385,1217.6,0.0
400000,40,279.40155009755523,1.370056051670269,1192.2,0.0
410000,41,231.9737681717792,97.75291504853544,1054.8,0.0
420000,42,104.21795640096202,128.5478097972897,810.6,0.0
430000,43,248.15181131795424,68.0637860605086,1124.0,0.0
440000,44,280.4763746944576,1.8718414742036622,1189.6,0.0
450000,45,281.721820685318,0.5098916891369947,1178.0,0.0
460000,46,276.15142043296044,1.1253176361061423,1232.0,0.0
470000,47,249.95297528476377,58.42767583535941,1171.8,0.0
480000,48,276.08400304141094,1.316931103219881,1232.8,0.0
490000,49,167.9045562073989,144.70414668199913,894.6,0.0
500000,50,279.5266874785686,1.4858304940184395,1168.0,0.0
