timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-135.08374290016678,19.78302130924225,366.0,0.0
20000,2,-109.38743891791603,0.39111871763197037,37.8,0.0
30000,3,-121.38594043243079,20.63400834674029,186.4,0.0
40000,4,-116.59967127512444,12.233940035421968,424.8,0.0
50000,5,-134.81941235219853,16.040786227866274,431.4,0.0
60000,6,-165.82656985927335,8.755289648796255,525.2,0.0
70000,7,-72.29875820592194,19.459656062839375,1600.0,0.0
80000,8,-125.5237669578371,39.86829238364673,649.4,0.0
90000,9,-156.78514837592724,25.806219321409234,657.0,0.0
100000,10,-107.21043536307828,40.34694295367116,1464.4,0.0
110000,11,-132.88749923893766,10.235940798270663,1017.2,0.0
120000,12,-136.05674360901304,8.904819019466766,238.0,0.0
130000,13,-163.36255900191824,16.909899221516017,783.6,0.0
140000,14,-120.45830754584135,18.326395484102722,281.8,0.0
150000,15,-117.09081805702783,9.958492069537899,244.8,0.0
160000,16,-106.93878823191918,5.444973300079303,1293.2,0.0
170000,17,-71.88300013923336,23.430466123001953,1295.6,0.0
180000,18,-129.63341498466346,15.88625896048865,125.0,0.0
190000,19,-136.57937313944947,19.990489307567795,585.2,0.0
200000,20,-41.2110178076065,67.70850763292756,613.2,0.0
210000,21,-156.77522144163785,26.045954321862393,445.8,0.0
220000,22,-125.86372029309545,7.454727303585078,190.2,0.0
230000,23,-142.94766413510456,17.041322130487604,269.0,0.0
240000,24,-174.23335116410803,22.061903632246914,611.2,0.0
250000,25,-105.25965753553737,5.58094022420798,1600.0,0.0
260000,26,-161.54624439455495,33.20892498431647,611.6,0.0
270000,27,-70.62596251816403,56.82677084533776,1287.8,0.0
280000,28,-159.50439671679646,24.614992837824143,738.2,0.0
290000,29,-140.38762258962268,8.771059562805679,462.4,0.0
300000,30,-183.49429328151766,30.410264969748457,780.4,0.0
310000,31,-122.19324144612725,14.04656713988075,212.8,0.0
320000,32,-111.6118924990202,23.982857728641367,861.6,0.0
330000,33,-99.8768219779756,26.53358913166424,520.0,0.0
340000,34,-112.91554536635404,17.24354805203937,198.8,0.0
350000,35,-68.7973195371968,63.17834162695145,809.6,0.0
360000,36,-143.15841121317595,16.475528128808293,275.8,0.0
370000,37,-148.14797647782714,17.66113498350223,982.2,0.0
380000,38,-134.7078201787586,16.985599348975384,1331.8,0.0
390000,39,-170.56651260313203,48.08125077212438,1094.6,0.0
400000,40,-138.0045370871611,11.588898766134509,465.0,0.0
410000,41,-109.86263976971618,12.422872304795158,290.8,0.0
420000,42,-87.96507830851199,24.563757856783024,861.8,0.0
430000,43,-104.37103530197092,49.35898254685119,770.8,0.0
440000,44,-103.24923229436251,32.13536860703715,787.4,0.0
450000,45,-123.05960324591453,8.442089981655355,606.4,0.0
460000,46,-140.76596642320004,12.23445811467209,510.6,0.0
470000,47,-114.50930700493379,45.711452423443376,845.0,0.0
480000,48,-125.30213567704311,16.390846504087936,446.8,0.0
490000,49,-154.4120231939945,29.7509763319391,531.4,0.0
500000,50,-108.15764709332935,35.07610197124305,350.0,0.0
