timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-106.4575774398985,6.712330979801761,109.8,0.0
20000,2,-93.78583392397128,0.3132993381052714,95.0,0.0
30000,3,-108.99017584648755,3.121303901989173,71.8,0.0
40000,4,-106.05359715422442,0.08011619396600132,114.0,0.0
50000,5,-55.08995219235012,2.349138156173289,1600.0,0.0
60000,6,-42.581904921369365,6.027148866008352,1600.0,0.0
70000,7,-33.52295462089853,0.07665712887617099,1600.0,0.0
80000,8,18.641707963295968,14.315481906219814,1600.0,0.0
90000,9,22.09967349310056,42.258755442259876,1600.0,0.0
100000,10,85.61645178532379,1.908612092482964,1600.0,0.0
110000,11,138.88807238339012,5.47397717934252,1600.0,0.0
120000,12,131.0435791992918,5.059122905739887,1600.0,0.0
130000,13,6.756327427153084,126.64131895043309,713.4,0.0
140000,14,102.07747057469722,76.19786739672773,1427.6,0.0
150000,15,153.22924377202008,115.23221192178964,1337.8,0.0
160000,16,16.396508035743377,104.65456001858193,882.4,0.0
170000,17,20.730420236495366,120.04162385163173,743.2,0.0
180000,18,67.58320874891152,96.26098149316304,1059.6,0.0
190000,19,193.9606838884411,3.8355442274849345,1600.0,0.0
200000,20,127.47589793212217,110.9274835193064,1362.4,0.0
210000,21,-57.09962384525882,38.638251945877016,496.4,0.0
220000,22,-59.05042565767444,43.70159771975993,481.6,0.0
230000,23,-10.292349758874625,55.94904679394977,775.6,0.0
240000,24,18.062460352918134,100.18488741660596,925.2,0.0
250000,25,-52.472604217894705,30.426061099325466,466.2,0.0
260000,26,-33.197187390592816,61.90298434582918,692.6,0.0
270000,27,148.9172624287044,59.502203032510586,1497.4,0.0
280000,28,111.96487761094514,134.08746469732094,1249.2,0.0
290000,29,63.88143614178434,115.93093109908081,1093.4,0.0
300000,30,-49.48614049020415,129.06351269387977,476.2,0.0
310000,31,-119.49362529345453,3.5783052572019214,167.0,0.0
320000,32,-7.242086574322849,51.71874540609871,953.0,0.0
330000,33,173.83326709039807,76.19769385008244,1501.0,0.0
340000,34,177.92586905816106,123.96431068684564,1342.6,0.0
350000,35,178.76029348501086,104.42662844158035,1403.8,0.0
360000,36,2.7082894622501783,134.5010510005249,669.2,0.0
370000,37,148.3021290733892,144.23187516699593,1309.2,0.0
380000,38,65.97224980800372,117.64433188945426,942.8,0.0
390000,39,50.58644008610088,129.63991731067,986.2,0.0
400000,40,93.43481383860637,143.57450921062005,1004.8,0.0
410000,41,103.11443773557627,156.96403459957878,1009.6,0.0
420000,42,135.10743724741968,143.42425777553754,1142.8,0.0
430000,43,173.034329953402,129.94715974479328,1270.2,0.0
440000,44,67.52041429065825,124.86731059543328,922.0,0.0
450000,45,148.95638410783184,100.09081701275457,1338.6,0.0
460000,46,266.36449105117435,18.61222666597984,1461.8,0.0
470000,47,207.11991283871316,138.89609853724164,1394.8,0.0
480000,48,31.06985289443792,76.48609772427945,722.0,0.0
490000,49,109.96015873780644,136.75831698473183,1026.6,0.0
500000,50,156.5025649351612,104.3355909140535,1200.2,0.0
