timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-109.86833698622081,0.16028198443600175,56.6,0.0
20000,2,-30.45184093632462,0.10974043456658164,1600.0,0.0
30000,3,-42.222289414441185,3.7036843172416463,1600.0,0.0
40000,4,-59.04331903113799,3.189140627305128,1600.0,0.0
50000,5,-37.562510109239156,1.294837076588872,1600.0,0.0
60000,6,-38.436271303391614,0.5592513742995076,1600.0,0.0
70000,7,82.4436003216984,4.408263435269313,1600.0,0.0
80000,8,27.745822582500562,30.46747889168164,1600.0,0.0
90000,9,43.72506929074351,3.115624394543224,1600.0,0.0
100000,10,-110.81760233388692,3.7056585003599896,81.0,0.0
110000,11,69.35576947529171,2.900412278327948,1600.0,0.0
120000,12,99.16115249950568,75.27144438141407,1475.0,0.0
130000,13,-80.41019482612658,18.343282741466215,238.6,0.0
140000,14,-87.43027862089735,10.595363432831533,211.8,0.0
150000,15,13.557448827278677,95.39287798541342,884.2,0.0
160000,16,-103.44079516796407,0.07051584021378529,60.0,0.0
170000,17,-67.25718927696519,22.817752022812844,339.2,0.0
180000,18,-85.51314560387098,3.31702201740772,225.8,0.0
190000,19,-82.49070657309046,6.575996702275287,211.8,0.0
200000,20,-75.71144377933605,21.1264229862295,342.0,0.0
210000,21,-71.30077792438394,28.474782943027517,323.2,0.0
220000,22,-54.26306442721436,10.455597452507115,424.6,0.0
230000,23,-74.82314684564271,12.042363700121044,321.6,0.0
240000,24,-36.162348994736156,33.51305111580669,602.8,0.0
250000,25,118.27080204397332,125.2472243686911,1230.0,0.0
260000,26,117.33787357952988,116.84165970091668,1347.0,0.0
270000,27,114.85763576576196,127.28978520801154,1212.2,0.0
280000,28,-10.529677323652425,111.39137453616516,644.4,0.0
290000,29,89.17430175970657,149.86002123958775,1077.2,0.0
300000,30,64.4161633469328,152.38639137307382,882.8,0.0
310000,31,229.04523337026603,88.58469543698962,1436.2,0.0
320000,32,36.11315682393895,87.87964124386703,853.8,0.0
330000,33,176.30158043169317,86.57260535973808,1292.6,0.0
340000,34,118.76257338104816,138.81326532986822,902.2,0.0
350000,35,250.89979622234722,75.11706275415168,1280.6,0.0
360000,36,53.0086735134923,129.69604418464053,644.2,0.0
370000,37,105.60610743949117,97.39360203786933,977.0,0.0
380000,38,94.31088529897211,105.53015726041673,940.6,0.0
390000,39,83.63775003046236,123.92413520550171,786.0,0.0
400000,40,239.70225500604784,96.57722510929617,1207.4,0.0
410000,41,165.28944457365975,149.5493184513798,976.2,0.0
420000,42,187.88331302735506,137.13529250283517,1114.6,0.0
430000,43,-18.71594993674417,155.5454280566225,325.4,0.0
440000,44,182.94336241506068,151.2031891112654,955.4,0.0
450000,45,294.8814154952025,0.8122933532724618,1203.2,0.0
460000,46,228.8243846525304,80.40039420464623,1153.6,0.0
470000,47,291.8494159172875,1.31685761200328,1236.6,0.0
480000,48,289.9835221246323,1.1161175527383138,1250.2,0.0
490000,49,20.016171129797954,144.26463149453585,550.8,0.0
500000,50,198.79572514135558,111.09890086473163,1077.6,0.0
