timestep,episode,reward,reward_std,episode_length,success_rate
10000,1,-23.488382679798427,0.9430328884367188,1600.0,0.0
20000,2,-61.99045981177427,1.621784830497979,1600.0,0.0
30000,3,-37.907321707429524,5.3599869100681845,1600.0,0.0
40000,4,-108.25883569103789,1.4799427521224418,50.4,0.0
50000,5,-107.97894258187674,0.1324506940366651,63.2,0.0
60000,6,-107.77670574759134,3.5135122396494416,55.8,0.0
70000,7,-110.4596202130314,0.44899631692793784,64.6,0.0
80000,8,-109.15084818257938,0.43904710312107503,71.6,0.0
90000,9,137.1106365836948,117.33738062688208,1304.2,0.0
100000,10,220.24114139507878,7.838733906054954,1600.0,0.0
110000,11,21.233758724708803,154.33081817163588,709.8,0.0
120000,12,196.14651466792193,151.33231311899485,1290.4,0.0
130000,13,151.13089161631515,160.0991638112776,1123.4,0.0
140000,14,-104.99711539127182,0.23185909544328,75.2,0.0
150000,15,-105.09007085766657,0.3826367110044677,73.4,0.0
160000,16,-114.86832102332923,0.1698123788227441,84.0,0.0
170000,17,-111.58917780929058,6.203933247666946,67.0,0.0
180000,18,-104.20032833031068,0.044473913622187076,48.0,0.0
190000,19,-104.82622298648121,0.026693268535419337,48.0,0.0
200000,20,-104.89814710824378,0.05033844818155914,47.0,0.0
210000,21,-37.46058833957722,148.09113973703762,373.8,0.0
220000,22,-114.80861697194402,0.7285000167820663,75.2,0.0
230000,23,264.84146256766195,3.2481301900393964,1446.2,0.0
240000,24,-108.5240047780181,3.270981897669264,70.4,0.0
250000,25,-103.76065946988437,0.47494909892452825,62.4,0.0
260000,26,-112.97521372568755,0.16036376165440192,71.0,0.0
270000,27,127.09066659966433,174.3451451228436,843.0,0.0
280000,28,223.80577148663602,94.95996626681372,1168.0,0.0
290000,29,237.37134389679505,70.05623581645166,1217.8,0.0
300000,30,-33.87692481222005,149.1397743205095,334.8,0.0
310000,31,227.30014484672196,85.66142780794164,1143.0,0.0
320000,32,269.25828011865406,1.5061374956739562,1265.6,0.0
330000,33,267.2566823426255,2.0360027877466567,1295.2,0.0
340000,34,270.4145117929868,1.3693055349596959,1263.0,0.0
350000,35,40.405931552521096,127.53179130520718,582.2,0.0
360000,36,219.21864846074828,110.23095412569977,1083.4,0.0
370000,37,171.40938410597832,129.8867350664483,935.8,0.0
380000,38,248.26681385787188,56.205227263301076,1182.0,0.0
390000,39,276.96151331585656,0.5757751030631284,1182.4,0.0
400000,40,134.48024459895223,180.50220706805462,747.4,0.0
410000,41,219.75468730050534,122.88810899389166,978.8,0.0
420000,42,249.81469244921362,64.71351290885642,1125.0,0.0
430000,43,206.9142830712824,103.4335366644644,999.0,0.0
440000,44,194.19289976013846,127.42445820221484,978.4,0.0
450000,45,138.62627996975826,124.32939983817217,785.0,0.0
460000,46,56.34726516374816,118.29189764921982,643.0,0.0
470000,47,-107.10717938772441,1.7618466758406122,71.8,0.0
480000,48,250.7410121916521,72.43107836834386,1030.2,0.0
490000,49,283.4862119179375,1.3082887391775033,1167.8,0.0
500000,50,184.27797376580997,123.5754099962252,900.6,0.0
